model,game,condition,attempted_n,parsed,compliance_rate,best_response_rate,payoff_calc,deviation,profitable_deviation,ce_label,mediator_trust,label_skepticism
deepseek-v4-pro,Chicken,C3,10,10,1.0,1.0,1.0,1.0,0.0,0.7,0.4,0.0
deepseek-v4-pro,Chicken,C4,10,3,0.0,1.0,0.2,0.3,0.0,0.3,0.0,0.0
deepseek-v4-pro,Chicken,C5,10,8,0.0,1.0,0.5,0.8,0.2,0.3,0.6,0.0
deepseek-v4-pro,Chicken,C7-fake,10,10,0.0,1.0,0.2,1.0,0.0,0.0,0.1,0.0
deepseek-v4-pro,Chicken,C7-real,10,7,0.7,1.0,0.7,0.7,0.2,0.1,0.1,0.0
deepseek-v4-pro,Prisoner's Dilemma,C1,5,5,1.0,1.0,0.2,0.0,0.0,0.0,0.8,0.0
deepseek-v4-pro,Prisoner's Dilemma,C2,5,5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,Prisoner's Dilemma,C3,5,5,1.0,1.0,0.0,0.6,0.0,0.6,0.0,0.0
deepseek-v4-pro,Prisoner's Dilemma,C4,5,4,0.0,1.0,0.2,0.6,0.2,0.8,0.4,0.0
deepseek-v4-pro,Prisoner's Dilemma,C5,5,5,0.0,1.0,0.0,0.4,0.0,0.2,0.6,0.0
deepseek-v4-pro,Prisoner's Dilemma,C7-fake,5,5,0.0,1.0,0.0,1.0,0.0,0.0,0.4,0.0
deepseek-v4-pro,Prisoner's Dilemma,C7-real,5,5,1.0,1.0,0.2,1.0,0.0,0.2,0.0,0.0
deepseek-v4-pro,Pure Coordination,C1,10,6,0.6,1.0,0.3,0.6,0.0,0.6,0.5,0.0
deepseek-v4-pro,Pure Coordination,C2,10,10,1.0,1.0,0.1,0.9,0.0,0.4,0.4,0.0
deepseek-v4-pro,Pure Coordination,C3,10,10,1.0,1.0,0.1,0.8,0.0,0.3,0.3,0.0
deepseek-v4-pro,Pure Coordination,C4,10,2,0.0,1.0,0.0,0.2,0.0,0.2,0.0,0.0
deepseek-v4-pro,Pure Coordination,C5,10,1,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0
deepseek-v4-pro,Pure Coordination,C7-fake,10,10,0.0,1.0,0.1,1.0,0.1,0.0,0.0,0.0
deepseek-v4-pro,Pure Coordination,C7-real,10,10,1.0,1.0,0.2,0.8,0.0,0.2,0.2,0.0
deepseek-v4-pro,Rock-Paper-Scissors,C1,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,Rock-Paper-Scissors,C2,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,Rock-Paper-Scissors,C3,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,Rock-Paper-Scissors,C4,15,5,0.0,1.0,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.0,0.0
deepseek-v4-pro,Rock-Paper-Scissors,C5,15,7,0.06666666666666667,0.8571428571428571,0.4666666666666667,0.3333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.0
deepseek-v4-pro,Rock-Paper-Scissors,C7-fake,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,Rock-Paper-Scissors,C7-fake-own-audit,6,6,0.0,1.0,1.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0
deepseek-v4-pro,Rock-Paper-Scissors,C7-fake-skeptical,6,6,0.0,1.0,1.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.16666666666666666
deepseek-v4-pro,Rock-Paper-Scissors,C7-real,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro,3x3 Dominated Strategy,C1,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro,3x3 Dominated Strategy,C2,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro,3x3 Dominated Strategy,C3,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro,3x3 Dominated Strategy,C4,10,10,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro,3x3 Dominated Strategy,C5,10,9,0.1,0.8888888888888888,0.0,0.0,0.0,0.0,0.1,0.0
gemini-3.1-pro,3x3 Dominated Strategy,C7-fake,10,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro,3x3 Dominated Strategy,C7-real,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
