model,game,condition,recommendation,n,parsed,compliance_rate,ci_low,ci_high,p_vs_0_5
gemini-3.1-pro,Pure Coordination,C7-fake,B,5,5,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Pure Coordination,C7-real,A,5,5,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Pure Coordination,C7-real,B,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Battle of the Sexes,C1,Football,20,20,1.0,0.8315665290169145,1.0,1.9073486328125e-06
gpt-5.4,Battle of the Sexes,C1,Opera,20,20,1.0,0.8315665290169145,1.0,1.9073486328125e-06
gpt-5.4,Battle of the Sexes,C2,Football,20,20,1.0,0.8315665290169145,1.0,1.9073486328125e-06
gpt-5.4,Battle of the Sexes,C2,Opera,20,20,1.0,0.8315665290169145,1.0,1.9073486328125e-06
gpt-5.4,Battle of the Sexes,C3,Football,20,20,1.0,0.8315665290169145,1.0,1.9073486328125e-06
gpt-5.4,Battle of the Sexes,C3,Opera,20,20,1.0,0.8315665290169145,1.0,1.9073486328125e-06
gpt-5.4,Battle of the Sexes,C4,Football,20,20,0.4,0.19119006072557054,0.6394574126927552,0.5034446716308594
gpt-5.4,Battle of the Sexes,C4,Opera,20,20,0.75,0.5089541282920425,0.9134285308985655,0.04138946533203125
gpt-5.4,Battle of the Sexes,C5,Football,20,20,0.4,0.19119006072557054,0.6394574126927552,0.5034446716308594
gpt-5.4,Battle of the Sexes,C5,Opera,20,20,0.0,0.0,0.16843347098308548,1.9073486328125e-06
gpt-5.4,Battle of the Sexes,C7-fake,Football,20,20,0.0,0.0,0.16843347098308548,1.9073486328125e-06
gpt-5.4,Battle of the Sexes,C7-fake,Opera,20,20,0.0,0.0,0.16843347098308548,1.9073486328125e-06
gpt-5.4,Battle of the Sexes,C7-real,Football,20,20,1.0,0.8315665290169145,1.0,1.9073486328125e-06
gpt-5.4,Battle of the Sexes,C7-real,Opera,20,20,1.0,0.8315665290169145,1.0,1.9073486328125e-06
gpt-5.4,Chicken,C1,Straight,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Chicken,C1,Swerve,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Chicken,C2,Straight,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Chicken,C2,Swerve,5,5,0.8,0.28358206388191054,0.9949492366205319,0.375
gpt-5.4,Chicken,C3,Straight,5,5,1.0,0.47817624989501856,1.0,0.0625
gpt-5.4,Chicken,C3,Swerve,5,5,1.0,0.47817624989501856,1.0,0.0625
